Model,Epoch number,Training accuracy,Training loss,Val_accuracy,Val_loss
Simple CNN,1,0.4938,0.2718,0.5427,0.2718
Simple CNN,2,0.5578,0.2213,0.5427,0.2213
Simple CNN,3,0.5575,0.2163,0.5427,0.2163
Simple CNN,4,0.5574,0.2123,0.5427,0.2123
Simple CNN,5,0.5578,0.2138,0.5427,0.2138
Deeper CNN,1,0.4228,0.3585,0.5324,0.2251
Deeper CNN,2,0.5539,0.2116,0.4696,0.2972
Deeper CNN,3,0.5543,0.2094,0.5357,0.2079
Resnet,1,0.3586,205.353,0.5427,827.4474
Resnet,2,0.3435,1055.4363,0.3407,1752.7198
Resnet,3,0.3449,1823.3147,0.382,2185.0613
Resnet,4,0.3423,2498.9282,0.0286,4296.1328
Resnet,5,0.3379,3135.7,0.4505,3489.4927
Resnet,6,0.3374,3925.717,0.5427,3969.1743
Resnet,7,0.3405,4481.8721,0.0286,5774.4551
Resnet,8,0.3416,4580.1562,0.5427,6893.0078
Resnet,9,0.3365,5357.1406,0.0198,7335.9761
Resnet,10,0.3344,6085.6196,0.5427,7325.1431
Resnet,11,0.3342,6684.6646,0.1288,8344.457
Resnet w Weights,1,0.1528,0.2806,0.42541,0.227
Resnet w Weights,2,0.2011,0.2058,0.44231,0.2229
Resnet w Weights,3,0.227,0.2004,0.4335,0.2238
Resnet w Weights,4,0.2274,0.1974,0.4297,0.2247
Resnet w Weights,5,0.2533,0.1928,0.4252,0.2239
Resnet w Weights,6,0.2552,0.1893,0.423,0.2226
Resnet w Weights,7,0.2549,0.1858,0.419,0.2234
Resnet w Weights,8,0.2686,0.1825,0.4269,0.2219
Resnet w Weights,9,0.2636,0.1803,0.4085,0.225
Resnet w Weights,10,0.2744,0.1776,0.4009,0.2268
Resnet w Weights,11,0.2749,0.1773,0.4,0.2265
Resnet w Weights,12,0.2766,0.1752,0.4037,0.2267
Resnet w Weights,13,0.2807,0.174,0.3991,0.227
Resnet w Weights,14,0.2847,0.1719,0.4111,0.2259
Resnet w Weights,15,0.284,0.1707,0.4112,0.2255
Simple Single Label,1,0.6479,3.6291,0.6337,2.7413
Simple Single Label,2,0.6725,1.5887,0.655,1.607
Simple Single Label,3,0.6733,1.4053,0.6555,1.4584
Simple Single Label,4,0.6733,1.3745,0.6555,1.4051
Simple Single Label,5,0.6733,1.3715,0.6555,1.5024
